date, pm25, pm10, o3, no2, so2, co
2024/12/5, 167, 110, 12, 36, 5, 15
2024/12/6, 154, 143, 29, 52, 6, 22
2024/12/7, 185, 147, 11, 34, 5, 10
2024/12/8, 208, 68, 14, 23, 5, 5
2024/12/9, 132, 86, 18, 26, 4, 6
2024/12/10, 147, 88, 24, 28, 5, 8
2024/12/11, 145, 109, 18, 34, 6, 8
2024/12/12, 174, 92, 15, 25, 6, 5
2024/12/13, 151, 92, 12, 32, 5, 9
2024/12/14, 154, 149, 10, 50, 6, 18
2024/12/15, 205, 352, 7, 70, 6, 21
2024/12/16, 337, 373, 12, 65, 4, 27
2024/12/17, 390, 303, 7, 35, 2, 6
2024/12/18, 350, 321, 7, 40, 2, 8
2024/12/19, 358, 254, 3, 25, 2, 3
2024/12/20, 303, 164, 4, 23, 2, 3
2024/12/21, 233, 216, 6, 30, 2, 5
2024/12/22, 287, 167, 3, 25, 2, 3
2024/12/23, 245, 122, 8, 22, 2, 3
2024/12/24, 196, 127, 4, 21, 2, 3
2024/12/25, 218, 161, 7, 26, 2, 5
2024/12/26, 231, 95, 3, 19, 2, 2
2024/12/27, 183, 55, 2, 16, 2, 2
2024/12/28, 128, 77, 2, 15, 2, 2
2024/12/29, 162, , , , , 
2024/7/1, 101, 92, 21, 19, 7, 4
2024/7/2, 117, 63, 11, 17, 7, 4
2024/7/3, 83, 46, 13, 16, 7, 4
2024/7/4, 67, 49, 9, 17, 7, 4
2024/7/5, 71, 44, 11, 13, 7, 4
2024/7/6, 46, 26, 14, 12, 7, 3
2024/7/7, 19, 48, 13, 15, 7, 4
2024/7/8, 48, 68, 17, 15, 7, 4
2024/7/9, 101, , , , , 
2024/7/11, 145, 92, 15, 19, 7, 5
2024/7/12, 96, 88, 9, 21, 7, 4
2024/7/13, 126, 82, 29, 16, 7, 4
2024/7/14, 123, 96, 14, 16, 7, 4
2024/7/15, 147, 79, 9, 16, 7, 5
2024/7/16, 143, 68, 15, 15, 7, 4
2024/7/17, 80, 78, 10, 15, 7, 4
2024/7/18, 128, 92, 21, 15, 7, 4
2024/7/19, 155, 76, 24, 14, 7, 3
2024/7/20, 128, 72, 16, 15, 8, 4
2024/7/21, 109, 64, 14, 12, 7, 4
2024/7/22, 81, 56, 21, 13, 8, 3
2024/7/23, 92, 101, 38, 17, 7, 5
2024/7/24, 156, 56, 21, 14, 7, 4
2024/7/25, 89, 78, 26, 15, 7, 6
2024/7/26, 129, 66, 14, 11, 7, 6
2024/7/27, 96, 63, 12, 9, 7, 6
2024/7/28, 76, 61, 14, 8, 8, 7
2024/7/29, 80, 71, 15, 10, 6, 7
2024/7/30, 104, 67, 11, 11, 6, 5
2024/7/31, 96, 43, 13, 13, 7, 5
2024/8/1, 57, 57, 11, 13, 6, 6
2024/8/2, 90, 50, 11, 9, 6, 5
2024/8/3, 69, 44, 9, 10, 6, 5
2024/8/4, 49, 45, 10, 7, 6, 5
2024/8/5, 61, 42, 9, 8, 6, 5
2024/8/6, 47, 40, 6, 10, 6, 6
2024/8/7, 57, 37, 6, 10, 6, 6
2024/8/8, 59, 42, 6, 10, 7, 6
2024/8/9, 76, 59, 7, 9, 7, 6
2024/8/10, 106, 48, 7, 9, 7, 6
2024/8/11, 93, 44, 6, 9, 7, 6
2024/8/12, 73, 42, 7, 10, 7, 5
2024/8/13, 68, 66, 8, 10, 7, 6
2024/8/14, 102, 51, 9, 9, 7, 6
2024/8/15, 83, 50, 9, 8, 7, 6
2024/8/16, 66, 73, 14, 12, 7, 7
2024/8/17, 112, 66, 9, 12, 7, 6
2024/8/18, 91, 65, 8, 11, 7, 6
2024/8/19, 91, 45, 9, 13, 7, 6
2024/8/20, 74, 65, 17, 12, 7, 6
